,y_hat_cats,pred_cats,files,is_good_pred,logits
110,psi_11,psi_10_5,data/testData_PILed/psi_11/73.jpg,False,"[2.2366427e-12 4.7785006e-02 9.5532916e-05 3.1300520e-03 9.1462415e-01
 3.4362756e-02 1.8209549e-10 8.0913180e-17 8.6846114e-35 2.6156935e-27
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.3815831e-07
 5.3007479e-18 3.1919274e-29 1.8002966e-21 4.7774522e-36 3.1085309e-38
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 1.4321781e-34 7.0768637e-17 6.6496710e-32 9.1992646e-21 1.4757360e-12
 2.3783277e-06]"
12,psi_12,psi_10_5,data/testData_PILed/psi_12/12.jpg,False,"[3.1869132e-03 1.8082914e-05 4.3973174e-02 1.9760930e-05 9.5227265e-01
 1.8122411e-05 1.3541356e-09 2.3782232e-13 3.0102194e-23 8.4477375e-18
 5.7511441e-28 1.0624782e-31 2.2219529e-37 0.0000000e+00 5.0560758e-04
 2.7492472e-06 1.8897727e-14 5.1547642e-12 4.3478429e-18 1.5668699e-19
 4.0258756e-38 0.0000000e+00 0.0000000e+00 1.5562987e-31 1.4176698e-23
 4.2465029e-21 1.6805400e-09 1.0129691e-13 4.2901994e-16 4.1678128e-08
 2.9463067e-06]"
25,psi_12,psi_10_5,data/testData_PILed/psi_12/113.jpg,False,"[4.3775272e-02 8.6256132e-06 2.1914361e-02 1.5591281e-04 9.3373489e-01
 1.0632903e-05 5.2181004e-10 1.4687802e-12 5.1127642e-21 6.2685805e-17
 8.8166455e-24 3.8761247e-27 1.7378823e-32 1.2923760e-33 6.6854205e-05
 2.9571465e-05 1.4490680e-12 2.1375761e-12 1.0167123e-14 1.4652551e-15
 1.3246453e-32 1.4151232e-37 1.1817598e-33 2.3477544e-26 4.7867593e-19
 4.2743302e-16 9.1639015e-07 4.4439272e-10 8.8229233e-12 2.4440742e-05
 2.7850023e-04]"
113,psi_12,psi-NAN,data/testData_PILed/psi_12/25.jpg,False,"[6.0217047e-01 5.5952273e-06 1.6381541e-02 2.9918004e-04 3.7921593e-01
 1.7252626e-06 6.5304588e-11 2.2629805e-13 4.5218204e-21 1.7631772e-17
 1.5794371e-22 1.2213682e-25 8.5935728e-31 1.0073495e-31 6.6554680e-06
 3.5152469e-05 5.4396904e-12 2.5824880e-13 1.8626703e-13 1.7008786e-13
 6.9282200e-30 5.1855607e-35 5.1540570e-31 7.0717373e-24 9.5522850e-17
 1.6248327e-13 4.6921505e-05 1.0723106e-07 5.9983835e-10 6.5158255e-04
 1.1851526e-03]"
2,psi_13,psi_12,data/testData_PILed/psi_13/178.jpg,False,"[2.9254849e-07 1.6278993e-10 4.9340335e-05 1.8707985e-07 5.0187097e-03
 5.0343368e-03 1.1874782e-03 7.1302193e-01 1.5490796e-05 3.9081910e-04
 4.5275809e-07 9.5649311e-10 1.3698581e-15 2.1204722e-15 2.6172701e-02
 2.4766953e-01 1.1664543e-03 1.2999708e-04 1.3462109e-04 4.7398956e-08
 8.7034496e-19 1.0854723e-21 5.5428720e-20 2.7955726e-14 1.9342627e-10
 8.1056724e-11 7.6472617e-08 3.5279502e-09 4.6976149e-07 9.7755924e-07
 6.0091811e-06]"
37,psi_13,psi_12,data/testData_PILed/psi_13/2.jpg,False,"[3.0888343e-12 1.3649887e-14 3.5015086e-09 4.5912584e-12 2.0112968e-06
 1.6235941e-05 3.3695673e-04 9.9855131e-01 9.9082908e-06 2.3830138e-04
 2.6091871e-09 1.3593929e-13 2.1732503e-19 2.3524988e-19 2.6246323e-04
 4.9096253e-04 4.8670117e-06 8.6926644e-05 1.2317625e-08 3.7563764e-13
 2.9929960e-23 4.2961007e-27 6.9059441e-26 1.0403376e-18 1.3383314e-15
 2.2419908e-17 1.4925028e-13 7.3997171e-15 2.5362435e-13 1.0784293e-12
 8.8313377e-11]"
178,psi_13,psi_12,data/testData_PILed/psi_13/37.jpg,False,"[5.0288467e-12 4.9107822e-11 2.3044786e-08 1.6061424e-08 2.8009966e-04
 5.2258666e-03 1.1334111e-03 9.9289811e-01 4.3463640e-08 9.0279281e-07
 9.6346372e-14 6.6734543e-17 2.2422305e-22 1.8032925e-21 4.5738515e-04
 2.7588521e-06 3.1895850e-09 1.3059614e-06 7.7435584e-13 9.4100735e-17
 1.4526458e-27 2.9835089e-30 1.6931335e-27 2.2974447e-22 2.2635913e-18
 2.4739781e-18 8.0399489e-13 3.3168579e-17 5.8934416e-12 4.4027608e-11
 6.1344437e-08]"
78,psi_14,psi_2,data/testData_PILed/psi_14/118.jpg,False,"[2.33940009e-04 2.29532122e-11 5.04205411e-04 5.46420551e-07
 1.43747628e-01 1.07267566e-04 4.04204513e-07 1.33214431e-04
 1.64106270e-10 8.34605007e-09 4.22584918e-08 3.30447802e-09
 9.78778930e-17 3.17858934e-16 6.88359549e-04 8.18568647e-01
 2.99439067e-04 1.52776736e-09 3.03039439e-02 1.13018381e-03
 1.22775627e-18 6.60421160e-23 2.16397117e-19 9.59849604e-13
 4.89674434e-08 1.22275333e-06 1.16569827e-04 2.97319275e-05
 1.88133819e-03 2.20570597e-03 4.76531059e-05]"
118,psi_14,psi_2,data/testData_PILed/psi_14/78.jpg,False,"[7.01538229e-05 1.07496813e-12 8.39649001e-05 3.47760682e-08
 1.50326518e-02 1.62775559e-05 1.58505529e-07 8.67205817e-05
 4.41833625e-10 1.44672105e-08 7.07178629e-07 9.85080888e-08
 2.35431050e-15 7.44687481e-15 1.40392571e-04 6.54025376e-01
 1.01826014e-03 6.45200615e-10 3.10811967e-01 1.55014917e-02
 4.49149610e-17 2.04933593e-21 3.60446268e-18 1.96933407e-11
 4.81602228e-07 5.67457755e-06 7.25647333e-05 9.16743593e-05
 2.36133486e-03 6.76269352e-04 3.73604439e-06]"
126,psi_14,psi_2,data/testData_PILed/psi_14/126.jpg,False,"[2.6194208e-05 6.7858539e-13 7.9375102e-05 1.1141432e-08 1.1426391e-02
 1.2901451e-05 1.8219572e-07 8.9055335e-05 2.5214600e-10 1.9377834e-08
 1.2713079e-07 6.9161836e-09 1.2369282e-16 1.9699214e-16 3.2763128e-04
 8.9961457e-01 6.1040092e-04 1.7768464e-09 8.6395614e-02 1.2400261e-03
 1.9950267e-18 5.2336724e-23 5.3554849e-20 9.9294867e-13 3.0714286e-08
 1.7411237e-07 8.5088341e-06 1.0021037e-05 8.5805470e-05 7.2025665e-05
 1.0380918e-06]"
